s_province,s_city_name,s_sta_name,d_city_name,d_sta_name,drv_date,drv_time,full_price,half_price,left_tickets,crawl_source,extra_info
"江苏省","宿迁市","宿迁市","常州汽车总站","常州汽车总站","20161207","1350",132.0,66.0,"53","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1350"", ""cnum"" : ""53"", ""cid"" : ""20275678;"", ""cjg"" : ""132"", ""bcbm"" : ""QQ0041"", ""cmdid"" : ""203056788')"", ""cmd"" : ""常州汽车总站"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","滁州","滁州","20161205","1300",60.0,30.0,"28","ccw","{ ""crq"" : ""20161205"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1300"", ""cnum"" : ""28"", ""cid"" : ""20275678;"", ""cjg"" : ""60"", ""bcbm"" : ""QQ0095"", ""cmdid"" : ""262556789')"", ""cmd"" : ""滁州"", ""clx"" : ""中型中级"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","滁州","滁州","20161206","1300",60.0,30.0,"33","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1300"", ""cnum"" : ""33"", ""cid"" : ""20275678;"", ""cjg"" : ""60"", ""bcbm"" : ""QQ0095"", ""cmdid"" : ""262556789')"", ""cmd"" : ""滁州"", ""clx"" : ""中型中级"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","滁州","滁州","20161207","1300",60.0,30.0,"33","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1300"", ""cnum"" : ""33"", ""cid"" : ""20275678;"", ""cjg"" : ""60"", ""bcbm"" : ""QQ0095"", ""cmdid"" : ""262556789')"", ""cmd"" : ""滁州"", ""clx"" : ""中型中级"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","丹阳","丹阳","20161206","0715",110.0,55.0,"49","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0715"", ""cnum"" : ""49"", ""cid"" : ""20275678;"", ""cjg"" : ""110"", ""bcbm"" : ""QQ0245"", ""cmdid"" : ""2025"", ""cmd"" : ""丹阳"", ""clx"" : ""中型中级"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","丹阳","丹阳","20161207","0715",110.0,55.0,"37","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0715"", ""cnum"" : ""37"", ""cid"" : ""20275678;"", ""cjg"" : ""110"", ""bcbm"" : ""QQ0141"", ""cmdid"" : ""2025"", ""cmd"" : ""丹阳"", ""clx"" : ""中型中级"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","东台","东台","20161206","0940",85.0,42.5,"45","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0940"", ""cnum"" : ""45"", ""cid"" : ""20275678;"", ""cjg"" : ""85"", ""bcbm"" : ""QQ0142"", ""cmdid"" : ""203"", ""cmd"" : ""东台"", ""clx"" : ""大型中级"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","东台","东台","20161207","0940",85.0,42.5,"45","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0940"", ""cnum"" : ""45"", ""cid"" : ""20275678;"", ""cjg"" : ""85"", ""bcbm"" : ""QQ0142"", ""cmdid"" : ""203"", ""cmd"" : ""东台"", ""clx"" : ""大型中级"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","阜阳","阜阳","20161206","0930",110.0,55.0,"49","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0930"", ""cnum"" : ""49"", ""cid"" : ""20275678;"", ""cjg"" : ""110"", ""bcbm"" : ""QQ0098"", ""cmdid"" : ""262656789')"", ""cmd"" : ""阜阳"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","赣榆汽车站","赣榆汽车站","20161205","1310",55.0,27.5,"39","ccw","{ ""crq"" : ""20161205"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1310"", ""cnum"" : ""39"", ""cid"" : ""20275678;"", ""cjg"" : ""55"", ""bcbm"" : ""QQ0253"", ""cmdid"" : ""20335679"", ""cmd"" : ""赣榆汽车站"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","赣榆","赣榆","20161206","0800",55.0,27.5,"51","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0800"", ""cnum"" : ""51"", ""cid"" : ""20275678;"", ""cjg"" : ""55"", ""bcbm"" : ""QQ0128"", ""cmdid"" : ""203377789')"", ""cmd"" : ""赣榆"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","赣榆汽车站","赣榆汽车站","20161206","0830",55.0,27.5,"50","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0830"", ""cnum"" : ""50"", ""cid"" : ""20275678;"", ""cjg"" : ""55"", ""bcbm"" : ""QQ0252"", ""cmdid"" : ""20335679"", ""cmd"" : ""赣榆汽车站"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","赣榆汽车站","赣榆汽车站","20161206","1310",55.0,27.5,"43","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1310"", ""cnum"" : ""43"", ""cid"" : ""20275678;"", ""cjg"" : ""55"", ""bcbm"" : ""QQ0253"", ""cmdid"" : ""20335679"", ""cmd"" : ""赣榆汽车站"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","赣榆","赣榆","20161207","0800",55.0,27.5,"51","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0800"", ""cnum"" : ""51"", ""cid"" : ""20275678;"", ""cjg"" : ""55"", ""bcbm"" : ""QQ0128"", ""cmdid"" : ""203377789')"", ""cmd"" : ""赣榆"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","赣榆汽车站","赣榆汽车站","20161207","0830",55.0,27.5,"50","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0830"", ""cnum"" : ""50"", ""cid"" : ""20275678;"", ""cjg"" : ""55"", ""bcbm"" : ""QQ0252"", ""cmdid"" : ""20335679"", ""cmd"" : ""赣榆汽车站"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","赣榆汽车站","赣榆汽车站","20161207","1310",55.0,27.5,"43","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1310"", ""cnum"" : ""43"", ""cid"" : ""20275678;"", ""cjg"" : ""55"", ""bcbm"" : ""QQ0253"", ""cmdid"" : ""20335679"", ""cmd"" : ""赣榆汽车站"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","固镇","固镇","20161205","1320",36.0,18.0,"30","ccw","{ ""crq"" : ""20161205"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1320"", ""cnum"" : ""30"", ""cid"" : ""20275678;"", ""cjg"" : ""36"", ""bcbm"" : ""QQ0099"", ""cmdid"" : ""263775789')"", ""cmd"" : ""固镇"", ""clx"" : ""中型中级"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","固镇","固镇","20161206","1320",36.0,18.0,"33","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1320"", ""cnum"" : ""33"", ""cid"" : ""20275678;"", ""cjg"" : ""36"", ""bcbm"" : ""QQ0099"", ""cmdid"" : ""263775789')"", ""cmd"" : ""固镇"", ""clx"" : ""中型中级"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","固镇","固镇","20161207","1320",36.0,18.0,"33","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1320"", ""cnum"" : ""33"", ""cid"" : ""20275678;"", ""cjg"" : ""36"", ""bcbm"" : ""QQ0099"", ""cmdid"" : ""263775789')"", ""cmd"" : ""固镇"", ""clx"" : ""中型中级"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","海门","海门","20161206","0700",152.0,76.0,"43","ccw","{ ""crq"" : ""20161206"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0700"", ""cnum"" : ""43"", ""cid"" : ""20275678;"", ""cjg"" : ""152"", ""bcbm"" : ""QQ0148"", ""cmdid"" : ""2032"", ""cmd"" : ""海门"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","海门","海门","20161207","0700",152.0,76.0,"44","ccw","{ ""crq"" : ""20161207"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""0700"", ""cnum"" : ""44"", ""cid"" : ""20275678;"", ""cjg"" : ""152"", ""bcbm"" : ""QQ0244"", ""cmdid"" : ""2032"", ""cmd"" : ""海门"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
"江苏省","宿迁市","宿迁市","杭州","杭州","20161205","1330",198.0,99.0,"49","ccw","{ ""crq"" : ""20161205"", ""carNum"" : ""1"", ""ccid"" : ""20275678;"", ""csj"" : ""1330"", ""cnum"" : ""49"", ""cid"" : ""20275678;"", ""cjg"" : ""198"", ""bcbm"" : ""QQ0121"", ""cmdid"" : ""213556789')"", ""cmd"" : ""杭州"", ""clx"" : ""大型高一"", ""cna"" : ""宿迁汽车站"" }"
