rating,major,title,image_urls,link,images,rating_nums
8.6,"
      
          导演: 溝口憲司
            
          主演: 松重豊 / 小松政夫 / りりィ
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        孤独的美食家 第四季 盛夏的博多・出差SP 孤独のグルメSeason4 真夏の博多・出張スペシャル
      ",,http://movie.douban.com/subject/25947426/,,
7.6,"
      
          导演: 西坂瑞城
            
          主演: 福山雅治 / 北村一辉 / 长泽雅美
            
          类型: 剧情 / 悬疑 / 犯罪
            
          制片国家/地区: 日本
            
          年份: 2008
    ","
        伽利略特别篇 ガリレオΦ
      ",,http://movie.douban.com/subject/3218596/,,
8.8,"
      
          导演: 木村隆文 / 勝田夏子 / 大原拓 / 西村武五郎 / 桑野智宏 / 長谷知記 / 鈴木航
            
          主演: 堀北真希 / 松坂桃李 / 高橋克実
            
          类型: 剧情 / 传记
            
          制片国家/地区: 日本
            
          年份: 2012
    ","
        小梅医生 梅ちゃん先生
      ",,http://movie.douban.com/subject/6601360/,,
8.1,"
      
          导演: 福泽克雄
            
          主演: 木村拓哉 / 堺雅人 / 香川照之
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2011
    ","
        南极大陆 南極大陸
      ",,http://movie.douban.com/subject/5941682/,,
7.3,"
      
          导演: 工藤里纱 
            
          主演: 坛蜜 / 川村阳介 / 忍成修吾
            
          类型: 情色
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        Around 30 无修正 アラサーちゃん 無修正
      ",,http://movie.douban.com/subject/25885376/,,
8.1,"
      
          导演: 石川淳一
            
          主演: 堺雅人 / 新垣结衣 / 生濑胜久
            
          类型: 剧情 / 悬疑
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        胜者即是正义 2014SP リーガルハイ・スペシャル
      ",,http://movie.douban.com/subject/26020814/,,
8.5,"
      
          导演: 清水一彦 / 川野秀昭
            
          主演: 菅田将晖 / 本乡奏多 / 泉泽祐希
            
          制片国家/地区: 日本
            
          年份: 2015
    ","
        想吃杂烩面 ちゃんぽん食べたか
      ",,http://movie.douban.com/subject/26351400/,,
7.6,"
      
          导演: 松山博昭
            
          主演: 小栗旬 / 柴崎幸 / 向井理
            
          类型: 剧情 / 奇幻
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        信长协奏曲 信長協奏曲
      ",,http://movie.douban.com/subject/25881537/,,
9.1,"
      
          导演: 宫本理江子
            
          主演: 小泉今日子 / 中井贵一 / 坂口宪二
            
          类型: 剧情 / 喜剧 / 爱情
            
          制片国家/地区: 日本
            
          年份: 2012
    ","
        倒数第二次恋爱 2012秋SP 最後から二番目の恋 2012秋
      ",,http://movie.douban.com/subject/19955789/,,
9.0,"
      
          导演: 溝口憲司 / 井川尊史 / 宝来忠昭
            
          主演: 松重丰
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2013
    ","
        孤独的美食家 第三季 孤独のグルメ Season3
      ",,http://movie.douban.com/subject/24700696/,,
8.7,"
      
          导演: 堤幸彦
            
          主演: 仲间由纪惠 / 阿部宽 / 生濑胜久
            
          类型: 喜剧 / 恐怖 / 悬疑
            
          制片国家/地区: 日本
            
          年份: 2002
    ","
        圈套2 トリック2
      ",,http://movie.douban.com/subject/1465687/,,
8.3,"
      
          导演: 柳川強 / 松浦善之助 / 安達もじり
            
          主演: 吉高由里子 / 伊原刚志 / 室井滋
            
          类型: 剧情 / 传记 / 历史 / 古装
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        花子与安妮 花子とアン
      ",,http://movie.douban.com/subject/24839092/,,
7.7,"
      
          导演: 狩山俊輔
            
          主演: 佐藤健 / 前田敦子 / 莲佛美沙子
            
          类型: 爱情 / 科幻
            
          制片国家/地区: 日本
            
          年份: 2010
    ","
        Q10
      ",,http://movie.douban.com/subject/4944034/,,
7.4,"
      
          导演: 福田雄一 / 成田岳
            
          主演: 堂本刚 / 水川麻美 / 高桥克实
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2008
    ","
        33分钟侦探 33分探偵
      ",,http://movie.douban.com/subject/3196667/,,
9.0,"
      
          导演: 柴田岳志 / Takashi Isshiki
            
          主演: 本木雅弘 / 阿部宽 / 菅野美穗
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2009
    ","
        坂上之云 第一部 坂の上の雲 第1部
      ",,http://movie.douban.com/subject/2049761/,,
7.6,"
      
          导演: 土方政人 / 都築淳一 / 石川淳一
            
          主演: 堺雅人 / 锦户亮 / 杏
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2010
    ","
        不被原谅的搜查官 ジョーカー 許されざる捜査官
      ",,http://movie.douban.com/subject/4861542/,,
8.8,"
      
          导演: 宫本理江子
            
          主演: 中井贵一 / 黑木明纱 / 奥田瑛二
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2008
    ","
        风之庭院 風のガーデン
      ",,http://movie.douban.com/subject/3259423/,,
8.9,"
      
          导演: 本广克行 / 泽田镰作
            
          主演: 织田裕二 / 柳叶敏郎 / 深津绘里
            
          类型: 剧情 / 喜剧
            
          制片国家/地区: 日本
            
          年份: 1997
    ","
        跳跃大搜查线 踊る大捜査線
      ",,http://movie.douban.com/subject/1984851/,,
